time,interval (sec),stops,different revisited locations,revisited location visits,unique locations,trips,total trip path distance (km),mean trip path distance (km),total trip duration (min),mean trip duration (min),"max distance to home (stops, km)","mean distance to home (stops, km)","max distance to home (all points, km)","mean distance to home (all points, km)",time at home (min),time out of home (min),time out of home (%),time first move,time last move,"area convex hull (stops, km2)","perimeter convex hull (stops, km)","area convex hull (trips, km2)","perimeter convex hull (trips, km)"
whole period,708691.0,25,3,13,12,24,311.103,12.963,694.4,28.9,27.136,17.749,27.336,1.236,10730.9,1080.6,9.15,14:39,17:28,321.22,77.789,405.712,82.492
2022-03-30,22643.0,1,0,0,1,0,0.0,0.0,0.0,0.0,,,0.023,0.033,377.4,0.0,0.0,no trip,,,,no trip,no trip
2022-03-31,86400.0,4,1,2,2,3,37.627,12.542,105.7,35.2,7.221,6.539,7.304,0.772,1303.3,136.7,9.49,14:39,16:56,,,40.431,26.212
2022-04-01,86400.0,2,1,2,0,1,35.645,35.645,41.3,41.3,,,15.948,0.139,1398.7,41.3,2.87,19:08,19:49,,,22.558,32.859
2022-04-02,86400.0,8,1,2,6,7,106.162,15.166,205.3,29.3,24.844,21.997,25.93,5.552,1054.7,385.3,26.76,14:01,20:27,55.589,37.061,289.915,68.867
2022-04-03,86400.0,7,2,4,3,6,86.656,14.443,157.2,26.2,27.136,24.103,27.336,3.03,1240.2,199.8,13.88,12:45,16:04,2.096,40.717,185.635,64.497
2022-04-04,86400.0,2,1,2,0,1,1.658,1.658,19.7,19.7,,,0.363,27.646,1420.3,19.7,1.37,18:07,18:27,,,0.114,1.468
2022-04-05,86400.0,4,1,2,2,3,22.068,7.356,40.3,13.4,7.227,5.026,7.311,0.423,1349.3,90.7,6.3,18:06,19:37,,,12.775,17.23
2022-04-06,86400.0,3,1,2,1,2,16.357,8.179,72.7,36.4,4.185,4.185,5.599,0.127,1344.1,95.9,6.66,15:22,16:58,,,8.1,13.588
2022-04-07,77707.0,2,1,2,0,1,4.876,4.876,52.2,52.2,,,1.413,0.083,1243.0,52.2,4.03,16:36,17:28,,,1.067,4.096
